id,y_2011,y_2013
2,1947,1947
3,1943,1944
4,1971,1971
5,1956,1957
6,1948,1948
7,1978,1979
8,1962,1963
9,1950,1950
10,1953,1953
11,1955,1957
12,,
13,1957,1957
14,1997,1997
15,1974,1975
16,1971,1971
17,1971,1971
18,1969,1970
19,1973,1973
20,1996,1996
21,1972,1977
22,1943,1943
23,1981,1981
24,1956,1956
25,1988,1988
26,1993,1993
27,1997,1997
28,1961,1962
29,1983,1983
30,1966,1966
31,1970,1970
32,,
33,1964,1978
34,1972,1974
35,1984,1987
36,1979,1980
37,1949,1950
38,1991,1991
39,1989,1989
40,1980,1980
41,1978,1978
42,1984,1984
43,1970,1971
44,1987,1988
45,2005,2006
46,1988,1988
47,1963,1962
48,1996,1996
49,1986,1986
50,1979,1979
51,1951,1951
52,1959,1959
53,1973,1974
54,1971,1971
55,1981,1981
56,1977,1977
57,1969,1969
58,1973,1973
59,1976,1976
60,1960,1961
61,1991,1991
62,,
64,1974,1974
65,1959,1959
66,1987,1987
67,,
68,1995,1995
69,1976,1976
70,1960,1960
71,1983,1984
72,1994,1994
73,1989,1989
74,1984,1984
75,2001,2001
76,1999,2001
77,2003,2003
78,1998,2000
79,,
80,1965,1965
81,1995,1995
82,2003,2003
83,1974,1974
84,1967,1967
85,1957,1957
86,1955,1955
87,1954,1954
88,1963,1963
89,1981,1981
90,1958,1958
91,1981,1981
92,,
93,,
94,1973,1973
95,1996,1996
96,1994,1994
97,1992,1992
98,1999,1999
99,1972,1972
100,1976,1976
101,1981,1982
102,1977,1977
103,1999,1999
105,1962,1964
106,1962,1962
107,1958,1958
108,1987,1987
109,1994,1994
110,1988,1988
111,1999,2000
112,1983,1984
113,1996,1996
114,1959,1959
115,2001,2004
116,1984,1989
117,2003,2003
118,1984,1985
119,1973,1973
120,1968,1969
121,1965,1965
122,,
123,1975,1975
124,1951,1951
125,1989,1989
126,1938,1989
127,1978,1978
128,1959,1959
129,1985,1985
130,1987,1987
131,1991,1992
132,1952,1952
133,1963,1963
134,1981,1981
135,,
136,2000,2001
137,1994,1995
138,1961,1961
139,1989,1989
140,1978,1978
141,1960,1961
142,1974,1974
143,1980,1980
144,1983,1983
145,1984,1984
146,1987,1988
147,1979,1980
148,1992,1993
149,1977,1990
150,1992,1992
151,2001,2002
152,1992,1992
153,2002,2002
154,1998,1998
155,1995,1995
156,1999,2000
157,1945,1946
158,1990,1990
159,1966,1969
160,1978,1978
161,1980,1980
162,1984,1984
163,1940,1941
164,1958,1958
165,1996,1996
166,1979,1979
167,1982,1982
168,1971,1971
169,2004,2004
170,1999,1999
171,1994,1994
172,2006,2006
173,1990,1991
174,1985,1985
175,1980,1980
176,1996,1996
177,1981,1981
178,1969,1969
179,1966,1966
180,1980,1981
181,1988,1988
182,1986,1986
183,1972,1973
184,1951,1952
185,,
186,1984,1984
187,1999,1999
188,1993,1994
189,1999,1999
190,1983,1983
191,1993,1993
192,1997,1999
193,1966,1966
194,1991,1992
195,2001,2001
196,1996,1996
197,1981,1981
198,1976,1977
199,2002,2003
200,,
201,1994,1994
202,1980,1980
203,1998,1999
204,2001,2001
205,1989,1989
206,1994,1994
207,2000,2000
208,1967,1968
209,1998,1998
210,1942,1942
211,1995,1995
212,1968,1968
213,1967,1967
215,1980,1980
216,1976,1976
217,1978,1978
218,1988,1988
219,1985,1990
220,1974,1974
221,1994,1994
222,1990,1990
223,1965,1965
224,1989,1989
225,1991,1991
226,1956,1957
227,1995,1995
228,2000,2000
229,1988,1991
230,1967,1967
231,1995,1996
232,1999,1999
233,1992,1992
234,1983,1983
235,1968,1968
236,1994,1994
237,1983,1984
238,1979,1979
240,1954,1954
241,1987,1987
242,2002,2002
243,1969,1970
244,1990,1990
245,1972,1972
246,1972,1972
247,1972,1972
248,1982,1982
249,1969,1969
250,1998,1998
251,2001,2002
252,1990,1991
253,1994,1994
254,1963,1963
255,1996,1996
256,1992,1994
257,2003,2003
258,1982,1982
259,1996,1996
260,1983,1983
261,1980,1980
262,1991,1991
263,1986,1986
264,1992,1994
265,1994,1994
266,1993,1994
267,2000,2001
268,1983,1983
269,1985,1985
270,,
271,1970,1970
272,,
273,2004,2004
274,,
275,1991,1991
276,1996,1996
277,1998,1999
278,2002,2002
279,,
280,1991,1992
281,1948,1981
282,1995,1995
283,1992,1992
284,1995,1995
285,1999,1999
286,1973,1974
287,1963,1964
