id,y_2013
2,1348
3,2697
4,53
5,67
6,1375
7,405
8,193
9,251
10,1453
11,843
12,860
13,406
14,568
15,
16,600
17,1511
18,1227
19,93
20,
21,5930
22,1217
23,
24,312
25,1
26,
27,151
28,100
29,0
30,1957
31,34
32,80
33,275
34,
35,76
36,46
37,756
38,9
39,
40,318
41,12
42,53
43,0
44,31
45,
46,
47,496
48,333
49,
50,1822
51,987
52,2178
53,1198
54,373
55,39
56,1285
57,180
58,811
59,1141
60,1421
61,175
62,6533
64,19
65,25
66,986
67,
68,107
69,24
70,2537
71,780
72,1845
73,
74,246
75,
76,250
77,101
78,335
79,393
80,
81,25
82,41
83,
84,
85,1573
86,686
87,1756
88,508
89,227
90,1706
91,1
92,605
93,575
94,511
95,147
96,1035
97,201
98,1
99,453
100,1382
101,1127
102,25
103,259
105,10
106,305
107,303
108,177
109,283
110,6
111,3
112,
113,
114,241
115,
116,39535
117,
118,0
119,203
120,1463
121,1210
122,1971
123,3890
124,5607
125,169
126,644
127,5578
128,676
129,24
130,
131,
132,73
133,12
134,11
135,448
136,67
137,130
138,547
139,389
140,436
141,995
142,566
143,52
144,
145,19
146,145
147,8
148,29
149,
150,
151,
152,
153,
154,55
155,264
156,229
157,4393
158,375
159,781
160,746
161,442
162,337
163,493
164,2643
165,732
166,563
167,477
168,63
169,
170,
171,191
172,175
173,83
174,6
175,
176,
177,1
178,483
179,95
180,246
181,23
182,650
183,150
184,
185,257
186,418
187,
188,
189,
190,327
191,
192,135
193,128
194,1
195,
196,212
197,21
198,152
199,1449
200,357
201,1
202,967
203,
204,
205,21
206,320
207,388
208,50
209,207
210,27
211,
212,5002
213,126
215,18
216,18
217,10
218,84
219,2256
220,
221,
222,19
223,192
224,
225,
226,96
227,0
228,
229,0
230,190
231,131
232,
233,75
234,813
235,29
236,76
237,269
238,
240,1154
241,0
242,
243,
244,
245,316
246,899
247,1016
248,716
249,150
250,
251,
252,
253,120
254,1359
255,
256,
257,
258,153
259,205
260,1357
261,31
262,7
263,17
264,
265,15
266,
267,
268,22
269,30
270,98
271,39
272,833
273,
274,
275,
276,
277,
278,
279,
280,101
281,
282,
283,388
284,
285,585
286,36
287,2588
288,34
289,312
290,19835
291,
292,485
293,882
294,468
295,472
296,
297,
298,312
299,0
300,322
301,
302,186
303,82
304,1954
305,
306,1288
307,123
308,
309,
310,
311,519
312,1359
313,647
314,901
315,815
316,1205
317,74
318,88
319,192
320,851
321,352
322,10
323,508
324,
325,14
326,1379
327,151
328,173
329,502
330,
331,2236
332,60
333,
334,315
335,
336,0
337,
338,805
339,2603
340,3372
341,14873
342,140452
343,786
344,479
345,52
346,581
347,1495
348,46
349,64
350,0
351,20
352,1
353,22
354,34
355,207
356,
357,187
358,1548
359,42
360,7
361,928
362,1656
363,1164
364,156
365,20
366,898
367,7696
368,1612
369,1288
370,2807
371,5047
372,
373,133
374,1365
375,23
376,133
377,
378,1095
379,
380,
381,3176
382,2878
383,398
384,8979
385,2083
386,464
387,2752
388,5634
389,3327
390,701
391,
392,985
393,811
394,46
395,3
396,
397,18
398,9
399,1000
400,0
401,0
402,
403,103
404,42
405,
406,4
407,18
408,7
409,8
410,13
411,2
412,
413,12
416,1866
417,28
418,50
419,
420,26
421,
422,167
423,
424,6
425,
426,136
428,
430,
431,6
432,
433,
434,
435,1
436,22
437,58
438,36
442,1
443,
444,
445,2
446,
447,
448,61
449,7
450,
451,
452,109
453,
454,
455,0
456,376
457,
458,1
459,
460,19
462,30
463,80
464,174
465,
466,
467,34
468,4
469,
470,
471,523
472,
473,316
474,42
475,8
