id,y_2013
22,
67,
126,
64,2.2
70,2.3
326,4.3
382,4.7
374,4.8
85,4.9
321,5
141,5.1
173,5.6
340,6.3
363,6.3
166,6.5
182,6.8
292,7
290,7.4
295,7.5
79,7.6
317,8
160,8.1
249,8.3
271,8.3
114,8.6
260,8.9
346,9.1
120,9.4
157,9.5
123,9.8
138,9.8
238,9.8
33,10
298,10
344,10
52,10.2
362,10.2
53,10.3
185,10.3
87,10.5
190,10.6
9,11.1
101,11.1
294,11.3
159,11.5
200,11.5
386,11.5
106,11.8
5,11.9
281,11.9
142,12
199,12.1
212,12.1
304,12.1
369,12.3
96,12.4
291,12.4
387,12.4
59,12.5
270,12.5
279,12.5
17,12.7
147,12.7
128,12.8
314,12.9
385,13
164,13.2
34,13.3
306,13.3
371,13.3
30,13.4
116,13.4
313,13.4
150,13.6
219,13.6
223,13.6
196,13.7
370,13.7
117,13.8
259,13.8
430,13.8
327,13.9
102,14.1
361,14.3
323,14.4
280,14.7
162,14.8
250,14.8
50,14.9
312,14.9
230,15.2
124,15.4
10,15.5
127,15.5
299,15.5
61,15.6
71,15.6
158,15.7
178,15.8
366,15.8
54,15.9
144,15.9
146,16.2
121,16.3
140,16.3
13,16.4
103,16.4
186,16.4
51,16.7
65,16.7
112,16.7
125,16.7
132,16.7
98,16.8
307,16.8
333,16.9
368,16.9
145,17
247,17.1
12,17.2
40,17.3
86,17.4
21,17.6
338,17.6
229,17.7
88,17.8
113,17.8
139,17.8
73,17.9
105,17.9
156,18
161,18
220,18
37,18.2
347,18.2
442,18.3
46,18.5
49,18.5
330,18.5
155,18.7
6,18.8
39,18.8
202,18.8
328,18.8
331,18.8
41,18.9
165,18.9
237,18.9
203,19
100,19.1
319,19.1
264,19.4
274,19.4
275,19.4
192,19.5
57,19.6
348,19.6
197,19.8
74,20
134,20
245,20
325,20
388,20
283,20.2
389,20.3
111,20.4
58,20.5
174,20.5
167,20.7
305,20.7
23,20.8
66,21.1
244,21.1
343,21.1
14,21.2
168,21.3
242,21.3
248,21.3
258,21.6
341,21.7
282,21.9
303,21.9
137,22
16,22.1
453,22.2
90,22.4
180,22.6
209,22.6
91,22.7
232,22.7
225,22.9
107,23.1
240,23.1
273,23.1
301,23.1
293,23.3
322,23.4
152,23.7
383,23.7
277,23.9
376,24
109,24.1
135,24.1
227,24.2
332,24.2
60,24.3
311,24.3
316,24.5
83,25
92,25
94,25
246,25
252,25
365,25
436,25
48,25.3
324,25.8
272,25.9
296,25.9
431,26
93,26.1
354,26.1
462,26.4
377,26.5
221,26.8
211,26.9
360,26.9
77,27
207,27.3
329,28
466,28
97,28.6
381,28.6
396,28.8
183,29.2
422,29.3
2,29.5
195,29.5
35,29.7
26,29.8
228,30
384,30
411,30
437,30
45,30.3
337,30.3
80,30.4
268,30.4
463,30.4
234,30.5
447,30.6
38,30.9
226,31.3
336,31.3
119,31.4
393,31.4
68,31.5
136,31.7
24,31.8
210,31.8
55,31.9
89,32
406,32.5
446,32.6
231,32.9
72,33.3
266,33.3
334,33.3
171,35
218,35
278,35.3
428,35.6
27,35.7
276,35.7
110,35.8
287,36.7
99,37.2
154,38.1
405,38.2
261,38.4
410,38.5
191,38.7
404,38.7
394,38.9
390,39.1
131,39.4
265,39.6
76,39.8
36,40
345,40
95,40.4
473,40.4
82,40.7
267,41.5
8,41.7
81,41.7
302,41.8
153,42.2
395,42.2
78,42.3
256,42.9
349,42.9
397,42.9
251,43
224,43.2
421,44.1
163,44.4
407,44.4
257,44.6
193,44.7
372,46.5
416,46.5
289,46.7
357,46.8
452,47.1
426,47.3
471,47.7
108,47.9
444,47.9
351,48.6
417,48.7
43,48.9
399,49.1
235,50
459,50.8
15,51.2
408,51.4
455,51.8
355,51.9
443,52.5
222,52.9
448,53.1
198,53.7
458,54.1
130,54.2
434,54.4
286,54.5
449,55
450,55.3
470,55.8
423,55.9
438,56.3
460,56.3
467,56.3
129,56.4
216,56.5
188,56.9
402,57.4
445,57.7
420,57.9
435,58.3
378,60.4
474,60.4
181,60.7
403,60.7
401,60.8
409,60.8
184,61.1
213,61.1
454,61.2
413,61.5
352,61.6
465,61.7
3,62.5
318,62.5
19,63.2
20,63.8
204,64
42,64.2
451,64.2
464,64.2
29,64.5
472,64.5
175,64.7
169,65.2
170,65.2
189,65.2
115,65.5
359,65.9
133,66.7
149,66.7
187,66.7
236,66.7
241,66.7
309,67.2
335,67.2
263,67.4
269,67.8
419,67.9
391,68.8
432,69.1
412,69.2
358,69.8
255,70.6
367,70.9
253,71.3
151,71.4
418,71.6
25,71.7
118,72.7
262,72.7
288,72.7
469,72.8
172,73.2
353,73.3
56,74.1
284,74.1
201,74.2
400,74.8
11,75
177,75
320,75
364,75
148,75.3
356,75.7
18,76
75,76
176,76.1
233,76.8
194,77.1
350,77.1
205,77.3
310,77.3
179,77.5
308,78.3
425,78.3
457,79.1
4,79.3
69,81.5
380,81.6
297,81.8
31,82.6
217,82.6
424,83.3
468,83.3
379,83.9
392,84.4
475,85.3
28,85.7
208,85.7
433,86
206,87
215,88.2
373,88.9
7,90.9
375,91.3
143,92.3
32,
44,
47,
62,
84,
122,
243,
254,
285,
300,
315,
339,
342,
398,
456,
