id,y_2010
2,20.5
3,60.5
4,21.3
5,34.9
6,81.3
7,42.8
8,12.0
9,98.0
10,68.5
11,56.9
12,
13,
14,60.1
15,
16,1.0
17,
18,0.5
19,29.1
20,74.1
21,41.3
22,18.2
23,
24,
25,20.8
26,13.7
27,66.6
28,50.0
29,
30,3.6
31,19.8
32,100.0
33,63.7
34,28.1
35,
36,18.3
37,
38,34.4
39,33.2
40,61.7
41,12.3
42,2.0
43,59.9
44,
45,
46,90.2
47,98.4
48,
49,
50,70.7
51,
52,
53,
54,6.9
55,10.3
56,85.0
57,
58,27.4
59,4.0
60,
61,
62,
63,
64,14.9
65,
66,100.0
67,
68,46.2
69,78.3
70,43.7
71,38.6
72,41.7
73,5.1
74,68.6
75,92.4
76,1.9
77,48.5
78,31.7
79,
80,
81,
82,40.8
83,
84,
85,31.7
86,
87,
88,
89,59.9
90,
91,
92,100.0
93,99.4
94,
95,61.5
96,
97,10.8
98,1.0
99,
100,35.2
101,
102,
103,
104,58.6
105,
106,98.8
107,
108,
109,39.2
110,33.3
111,
112,
113,
114,
115,11.8
116,74.4
117,23.5
118,
119,23.7
120,
121,3.6
122,
123,1.3
124,83.6
125,
126,0.6
127,66.9
128,3.8
129,15.9
130,
131,
132,87.8
133,79.6
134,34.5
135,
136,9.7
137,
138,
139,16.9
140,16.7
141,
142,14.6
143,12.6
144,54.8
145,4.8
146,53.2
147,0.3
148,54.7
149,39.2
150,
151,
152,
153,39.8
154,44.3
155,2.7
156,28.4
157,98.0
158,
159,
160,
161,
162,31.8
163,79.0
164,79.0
165,80.3
166,81.4
167,
168,
169,3.7
170,13.0
171,81.6
172,5.8
173,
174,
175,
176,26.2
177,27.6
178,
179,23.7
180,
181,45.9
182,
183,14.9
184,28.0
185,
186,36.4
187,2.2
188,6.9
189,88.3
190,
191,36.1
192,22.5
193,60.5
194,4.3
195,
196,56.8
197,0.8
198,
199,36.5
200,
201,24.4
202,2.5
203,
204,93.4
205,4.5
206,73.1
207,51.5
208,0.1
209,9.1
210,68.8
211,
212,51.1
213,42.0
215,
216,57.1
217,
218,32.7
219,8.4
220,37.5
221,28.4
222,
223,
224,9.9
225,
226,24.7
227,
228,
229,4.8
230,
231,34.4
232,38.0
233,40.0
234,
235,1.7
236,27.4
237,
238,32.6
240,72.6
241,
242,
243,
244,33.9
245,
246,
247,88.1
248,
249,
250,33.5
251,19.8
252,7.0
253,19.4
254,93.6
255,65.7
256,
257,58.0
258,23.5
259,0.2
260,8.3
261,4.3
262,17.9
263,22.4
264,49.6
265,24.0
266,27.6
267,
268,15.5
269,92.6
270,
271,
272,
273,0.6
274,100.0
275,14.6
276,
277,
278,100.0
279,86.3
280,
281,99.8
282,
283,
284,0.7
285,
286,5.5
287,98.9
288,19.8
289,19.5
290,0.7
291,
292,
293,39.7
294,27.1
295,3.7
296,
297,53.6
298,100.0
299,
300,100.0
301,
302,58.5
303,89.8
304,
305,
306,
307,0.2
308,49.8
309,
310,54.7
311,6.9
312,69.1
313,
314,
315,43.1
316,68.3
317,
318,22.4
319,7.2
320,51.2
321,
322,
323,41.9
324,
325,61.5
326,
327,38.8
328,60.7
329,5.5
330,
331,2.4
332,
333,
334,
335,34.3
336,
337,
338,44.0
339,
340,98.2
341,72.7
342,17.9
343,52.8
344,75.9
345,
346,
347,
348,
349,78.1
350,
351,43.0
352,12.8
353,12.7
354,48.9
355,
356,53.5
357,36.4
358,57.2
359,
360,14.7
361,45.4
362,
363,34.6
364,53.3
365,84.6
366,29.2
367,17.7
368,49.2
369,89.6
370,
371,21.5
372,21.3
373,20.7
374,64.2
375,41.2
376,21.6
377,3.6
378,39.7
379,15.0
380,5.3
381,65.7
382,
383,24.4
384,55.5
385,3.5
386,26.0
387,29.2
388,
389,16.1
390,17.2
391,
392,52.3
393,56.2
394,
395,18.0
396,
397,2.5
398,
399,62.9
400,
401,8.0
402,8.0
403,14.0
404,55.3
405,
406,13.1
407,19.4
408,36.1
409,27.5
410,
411,
412,
413,
416,100.0
417,48.8
418,35.8
419,
420,32.9
421,
422,3.4
423,3.4
424,44.5
425,
426,61.7
428,
430,74.9
431,
432,
433,0.3
434,13.5
435,2.7
436,46.2
437,
438,41.5
442,46.6
443,
444,
445,16.8
446,
447,
448,18.5
449,18.4
450,
451,
452,19.1
453,54.0
454,5.9
455,19.8
456,90.5
457,
458,2.0
459,9.5
460,
462,
463,33.2
464,13.4
465,
466,6.5
467,26.5
468,16.1
469,
470,8.6
471,77.4
472,3.0
473,80.0
474,58.9
475,12.5
