id	p1	median_age	area	developed_land	residential_density	land_use_proximity	age_death	singlefamily_property_value	year_built	commercial_permits	commercial_year_built	gas_consumption	heated_sqft	commute_time	drive_alone	dropout_rate	change_residential_property_value	impervious_surface	unexcused_absences	transit_proximity	rental_units	foodstamps	foreclosures	employed_6_months	median_household_income	grocery_stores	medicaid	housing_units	part_time	new_building_permits	structures_in_floodplain	water_consumption	fire_calls	births_to_adolescents	growth_3_5	growth_6_8	growth_9_12	proficient_9_12	proficient_6_8	proficient_3_5	residential_reno_permits	north_carolina_health_choice	tree_canopy	bicycle_friendly	energy_consumption	adopt_a_stream	commercial_building_sqft	street_connectivity	juvenile_incidents	streets_adopted	nuisance_violations	animal_control	residents_on_committees	neighborhood_organizations	code_violations	near_public_outdoor_recreation	near_medicaid_or_free_clinic	property_crime	residential_recycling	sidewalks	violent_crime	registered_voters	voter_participation	white	black	asian	group_population	other_population	neighborhood_schools	owner_occupied	near_drugstore	public_transit	residential_vacant	no_highschool_diploma	rent	private_schools	grants	commercial_code_violations	commercial_property_value_change	preschool_programs	school_aged_programs	subsidized_housing	zoning_violations	waste_generation	residential_vacant_rate	residential_tree_canopy	hispanic
47	1002	45	139	98	4.6		78	347643	1963	1200	1983	60	2782	33.5	87.8	0	2.5	39.6	6.1	100	13	2.1		10.4	66034	98.4	4.8	641	38.8		16	11.3	0.004	0						100	6		52.1	1.1	763	47.6	65849	1.1	0	0.61	3	21	0	0	2	100	0	2096		38.2	100	47.7	54	76	8.8	12.8	9.8	1.1	84.8	3.7	99.8	88	3	5.6	1022	0				0	0	0		61.3	15.5	57.7	4.6
48	1761	33	1908	83	0.3		71	129480	1996		1988	44	2005	40.4	92.1	3.6	-1.1	4	12.7	42.1	16	19.3	2.4	3.6	44744		16.4	626	39.4			6.1	0.019	4.5	49	68	56.4	72.7	54.3	58	4	9.1	70.6	1.3	1101	0	108184	1.3	3804	0	51	88	0	2	2	99.5	0	4145		41.2	170	65.8	40.5	37	39.4	2.4	0	17.1	78.6	77.9	0	66	23	14.7	1024	0				1	1	1		35.8	6.8	39.8	29.7
49	2405	39	1212	86.6	0.8		66	117959	1987		1971	54	1882	20.3	79.3	6.5	-1.5	6.3	10.2		21.7	19.9	2.6	8	53015		14.3	948	46.7	3	2	5.9	0.018	2.9	43.5	62.1	61.3	73.3	54.1	64.5	5	8	59	1.2	1138	0	32420	1.1	574	1.92	55	134	0	1	1	95.5	0	2453	59.6	34.9	249	71.2	42.5	41.7	45.6	3.2	0.5	4.1	63.8	75.7	0	0	74	7.1	972	5.2				1	1	4.1		27.4	8.2	62	7.4
50	2823	29	268	98.6	3.9		68	84499	1979	10107	1978	58	1514	42.3	55.9	5.6	-2	23.1	14.4	92.6	22.7	41.3	2.4	12	31358	70.7	32.4	1053	54.1		9	6.9	0.021	10.1	51.8	60.2	60.5	68.4	39.5	47.7	10	8.5	62.3	1.7	1203	1.3	130374	1.1	238	1.02	238	176	0	0	13	100	59.1	3294	46.8	32.7	850	46.8	36.1	24.2	39.8	8.4	0	23.8	69.5	32.7	64	273	4	19.5	658	3.6				3	3	12.8		31.4	9.9	61.5	37.3
51	1211	41	282	88.6	2.6		61	198859	1955		1948	50	1700	9.5	79.1	20	4.9	26.2	14.3	100	27.5	12	2.7	10.8	41375		7.6	737	49.2		39	5.4	0.043	0	40	41.7	50	75	53.9	30	3	6.9	42.6	1.9	889	68.9	939717	1.4	5556	0	82	73	3	1	6	100	35.4	5367	43.7	81	578	77.9	42.3	49.6	44.8	2.6	0	0.4	48.8	52.6	0	175	19	10.9	760	47.1				2	2	0.4		34.4	15	51.4	1.9
52	2017	30	504	96.2	1.8		58	121630	1958	6136	1976	45	1353	50.3	46.8	3.9	3.1	28.3	17.2	100	41.2	51.8	0.6	8.8	30397		36.9	892	62			5.1	0.033	6.4	67.1	57.1	48.6	67.3	44.3	46.4	2	7.1	35.9	1.2	1261	0	939459	1.1	7651	1.89	132	168	0	1	6	100	0	10412	40.7	78	1686	35.1	26.9	35	41.4	1.9	0	16.6	85.7	12.2	24.1	435	8	30.7	688	0				1	1	4.6		40.9	23.7	49.8	37.5
53	2727	31	438	82.1	2.4		48	67064	1973	1401	1982	44	1356	26.4	52.2	3.2	-2	19.7	16.8	100	24.2	36.2	1.1	23.2	27100		25.8	1057	54.7		2	7.3	0.022	7.3	46.2	44.2	42.3	41.9	39.6	46.7	5	7.4	43.1	1.8	1161	0	437094	1.2	625	2.02	355	178	0	1	15	99.8	26.5	4510	51.8	41.4	1320	63	36.6	16.1	59	0.8	0.2	20.2	76	40.9	29	214	8	27.1	688	5.9				8	9	15.1		37.3	11.8	48.1	34.1
54	1587	29	839	62.9	0.7		64	79625	1971		1988	41	1205	17.7	70.8	4.7	0.6	11.9	8.2	94.7	36.5	32.7	1.8	0	47270	6.9	27.2	562	46.1	1	1	6.2	0.034	9.2	49	42.4	35	58.1	59.1	49.4	5	11.2	58	1.6	1009	1.2	911595	1.1	2115	1.74	211	186	0	1	13	93.2	0	3718	54.1	41.2	378	48.3	29.7	41.6	27.9	2.3	0.3	23.1	66.8	64.2	0.7	87	76	34.4	875	0				1	2	0.7		36.1	12.6	54.9	42.3
55	1937	49	555	92	1.5		79	214201	1981		1990	60	2148	28.8	86.7	3.5	1.8	19.2	23	90.1	12.5	6.1	0.9	13.7	76190	10.3	7	804	57.1		21	8.1	0.027	7.3	48.3	64.3	75	93.9	79.2	77.5	70	2.7	42.1	1.5	1473	0.9	198096	1.1	270	0	71	92	2	2	2	77	36.1	1136	70.7	23.4	155	79.3	56.1	81.3	6.2	5.4	0	3.8	83.3	88.2	5	9	11	2.5	1148	16.7				0	0	0.2		52.5	4.6	45.4	9.4
56	694	41	306	85.2	1.2		73	197664	1977	12568	1991	66	2986	41.1	89.1	2.9	2	28.7	12.6	90.3	9	11.2	0.8	10	51964	85	10.5	359	61.3		1	10.4	0.069	0	87.5	79	63.6	80	94.7	85.7	4	3.7	47.5	1.4	1220	47.6	310014	1.1	0	0	6	52	1	0	0	91.6	49.3	11095	65.7	33.1	0	78.6	45.9	81.4	9.5	2.2	0	4.2	93.3	61	95.5	237	2	0	938	9.4				0	0	0		49.5	8.2	63.8	11
57	1071	25	168	89.1	4.1		66	64892	1969		1979	58	1549	30.4	69.6	10	-0.3	51.2	10.9	100	25	37.3	3	16.5	26957		27.1	683	63.9	26		6.9	0.014	5.8	59.4	68.8	46.7	60	51.3	48.9	3	4.9	22.9	1.5	911	0	420070	1.1	465	0	76	46	0	1	3	100	0	5229	58.8	38.2	934	56.4	25.7	29	44.1	4.2	0	17.9	79.8	30.7	0	44	2	12.1	604	0				1	1	2.3		26.8	39.1	33.2	30.1
58	1324	34	218	96.5	2.2		69	113514	1973		1978	57	1869	56.6	75.5	4.4	0.5	22.8	20.2	100	17.3	32.1	1.2	8.3	33654	27.4	26.1	485	45.4			7.2	0.02	7.7	44.7	70.7	52.9	73.9	49.2	44.8		5.6	48.9	1.4	1105	42.8	168914	1.2	2542	0.39	67	82	0	2	4	100	48.7	4985	57	54.1	1737	67.1	39.8	25.2	48.6	4.4	0	18.5	73.2	48	85.4	182	10	27.7	674	7.3				3	3	11.8		33	14	54.7	26.6
59	2388	32	353	83.6	3.2		68	96649	1976		1961	40	1531	37.7	83.6	4.6	-1.2	19.1	13.5	100	20.6	24.4	2.6	15.7	38427	4	19	1111	36.6			6.1	0.016	5.7	56.4	64.8	57.6	51.2	51.8	46.9	1	5.4	50.6	1.5	947	0	177921	1.2	388	0	183	177	0	3	6	1.4	47.8	4355	55.3	18.5	419	65.8	38.1	26.6	53.1	3.1	0.3	12.4	56.1	35.6	47.9	17	8	20.1	853	10.8				1	1	1.4		38.2	13.3	51.5	18.8
60	3334	24	805	72.4	1.3		66	78106	1954		1994		1507	31.5	66.8	7	0.6	9.1	17.2	99.9		11.5	1.2	18.4	26311		9.1	999	72.9		9		0.012	3.6	57.1	47.2	31.3	50	39.5	47.8		11.7	51	1.4	1268	37.5	243278	1.4	707	2.92	32	65	0	1	3	66.7	0	5129	47.1	24.2	570	26.6	14.6	44.7	23.9	17.7	0.4	10.4	84.2	6.7	62.9	138		14.5	806	0				0	1	0.1		32.5	7.9	34.8	16.5
61	1156	26	301	82.5	1.4		35	119626	1991		1992	54	1745	39.6	77.4	0	-0.5	13	9.4	99.1	14.9	9.9	0.7	11.7	71215		8.6	433	39.8			6.6	0.01	17.4	43.8	61.1	70	58.8	58.5	41.4		4	33.9	1.5	1355	14.7	102778	1.1	0	0	78	70	0	0	2	95.2	0	5623	58.8	33	346	63.8	34	46.9	41.3	4.5	0	4.7	77.6	51.8	8.8	9	7	23.3	1222	0				1	0	0.2		30.6	3.5	36.9	6.8
62	2011	19	77	100										20	47.9			135.1						49.4			1		98.6				0.028										41.5	1		0	0	1.1	0	0	0	1	0	0	0			0		38.7	0	22.3	7.6	68	24.2	2.8	100	1.6				67		0						0	0						5.4
63	797	20	216	100	0.9				1946		1978		1560	24.9	51.2			20.1		100				48.3				199	99				0.218										22.7	1.2	1016	0	83968	1.1	0	0	0	9	0	1	0	0	0	376		43.2	125			69.4	21.1	4.6	100	1.8			0	525		0						0	0	0					5.1
64	2360	24	179	98.8	5.8		61	60149	1975		1983	42	1828	15.6	73.2	5.6	-2.3	27.4	22.3	92.7	26.9	17.5	2.1	22.8	32941	14.9	13.3	1034	64.2	1		6.8	0.019	8.3	50	48.7	44.4	41.9	42.1	51.1	2	5.1	44.2	1.3	1077	0	25606	1.2	887	2.83	85	84	0	0	5	78.3	0.1	3305	59.6	30.6	212	45.3	25.5	46	35.1	7.3	0.3	7.8	71.9	22.6	5	0	4	0	759	13.9				2	2	4.7		31.5	10	48.8	12.6
65	1638	24	362	56	2.7		48	266967	1959		2005		1403	28.4	85.3	0		15	5.1	73.1		5.4		8.5	48472		3.3	979	58.8				0.015	3.6	66.7	71.4		71.4	28.6	78.6		2.6	54.1	1.6	817	33.6	79340	1.4	752	0	0	25	1	0	1	100	0	2015		56.4	183	33	25.8	53.1	25.8	15.7	0	1	83.9	0.7	0	15		7.5	926	27.4				0	0	0			8.5	26.7	3.7
66	2587	28	375	93.4	3.4		77	110013	1987	12800	1995	31	2034	25.7	67.7	0	-1.5	41.4	12	100	2.9	9.2	0.4	6.8	38194	100	11.8	1256	40.8		6		0.023	1.4	63.6	40	42.9	53.9	60	77.3	1	6	20.2	1.2	913	32.6	1504810	1.2	2575	1.01	7	39	0	1	2	99	6.3	8852		35	348	35	30.8	41.1	33.1	19.6	7.8	2.9	69.4	11.7	52.1	166	1	10.9	846	0				0	0	0.2		47.8	5.8	26.2	7.6
67	551	28	99	56	3.3			102800	1917		1999		1948	42.2	88.8	0	-1.9	22.2	7.5	100		9.8		4.7	27045		6.5	323	62		4		0.031	0				66.7		44.4			49.5	1.3	1076	24.6	33389	1.2		0	2	18	0	0	1	100	0	4174		72.7	363	30	36.2	39.4	44.5	12	0	0.9	73.8	5	0	0		0	986					0	0	0			9	34.8	3.6
68	2667	29	1269	71.6	0.9		56	133298	1995	700	1991	41	2119	34	81.5	0	-0.1	22.6	10.7	60.7	5.8	15.7	1.4	7.4	48438	46.2	13	1133	40.4		130	7.2	0.024	8	50	61.2	73.9	78.4	70.9	61.1	6	4.4	39.9	1.2	1189	0	3806572	1.1	0	1.02	84	80	0	0	4	22	0	2887	65.5	32.4	150	72.7	34.7	57.3	29.4	3.5	0	5	68.6	48.2	64.3	15	1	0.7	794	4.2				1	1	0.1		26.6	8.1	28.1	14.8
69	1181	51	381	99.1	2		78	692517	1976		1996	122	4108	7.4	77.9	0	0.2	18.7	6.7	100	7	1.6	0.8	5.3	72240	78.3	1.5	638	40.8		4	13.8	0.024	0	83.3	66.7		100	100	95	10		37.9	1.5	1614	4.4	196615	1.2	0	0.63	14	30	0	1	0	51.7	0	2794	77.9	50.6	85	75.8	57.8	87.1	5.1	4.6	0	1.4	93.4	47.4	68.9	4	8	0	709	57.9				0	0	0		46	19.5	50.1	3.6
70	1249	52	296	97.4	1.8		75	45376	1960		1976	68	1193	23.4	59.4	2.7	-3.6	24.7	14.9	100	34	35.9	1.7	17.3	40000	43.7	24.6	522	51.7		14	5.3	0.069	21.2	76.2	52.2	75	58.5	22.2	51.7	7	13.7	43.6	1.9	952	0	178204	1.4	10959	1.36	252	143	0	3	8	100	0	13851	52.2	46.6	1841	99.9	48.2	1.9	96.4		5	0.6	57.4	67	0	443	25	25.9	1048	0				1	1	3.4		43.4	6.4	56.3	1.2
71	3265	27	368	96.8	4		50	133878	1983		1975	52	1722	45.2	43	2.9	0.1	19.7	12.5	100	17.4	32.9	1.2	12.9	29780	38.6	29.8	1408	58.9			6.9	0.01	5.1	53.7	56.8	59.5	61.9	43.7	47.4	4	5.6	44.3	1.6	864	0	37329	1.2	633	0	119	86	0	0	3	100	27.1	3216	57.3	43.1	1011	30.1	31.9	33.3	26.5	1.9	0	31.4	77.4	17.6	38.2	133	19	42.8	716	0				2	1	20.2		29.9	20.5	48.6	62.4
72	1278	35	1164	63.7	0.5		61	131038	1994		2005	43	2296	31.1	86.6	0	-0.5	16.5	4.8	76.1	12.9	3.5	0.7	6.3	60893	41.7	5.3	561	29.6		1	7.3	0.055	0	38.1	67.6	69.2	73.8	61.5	72.2	1	8.6	41.5	1.6	1062	0	2224553	1.4	29020	1.47	6	83	1	0	0	47.4	0.2	37011	70.9	68.5	548	80.6	43.3	51.4	39.4	3.8	0	2.1	82.7	81	29.2	309	30	1.2	685	2.4				0	0	0.2		23.6	2.9	60	5.9
73	2854	35	4286	65.7	0.3		71	118222	1989	24028	1976	49	1637	28.4	86.5	2.6	-0.5	6.4	15.5	0.5	16.4	21.5	1.4	1.9	50215	5.1	15.5	1020	44.6	29	17	5.5	0.027	2.1	75.4	56.6	50	66.2	54.6	62.7	7	8.1	61.7	1.3	1218	12.3	2820408	1.3	1708	1.84	202	166	0	4	5	8	0	3083	51.8	18.6	245	72.1	44.6	50.9	34.8	4.3	0	5.4	80.8	81	1.9	0	144	19.6	661	37.2				2	2	0.7		25.5	5.9	55.1	11.2
74	1089	37	201	98.9	3.7		80	118426	1984		1984	42	1468	16.4	87.2	3.7	0.8	33	22.8	100	8.7	8.3	0.5	20	45236	68.6	5.3	740	43			6.8	0.027	0	58.8	33.3	58.3	76.5	44.4	77.3	6	5.1	19.2	1.6	852	0	115172	1	11679	1.37	12	46	0	1	1	100	0	5693	60.3	44.1	367	73.1	43.1	85.3	8.7	1.3	0	1.6	80.4	67.3	68.8	51	2	0	862	0				0	0	0.1		34.7	5.7	25.6	6.7
75	1639	36	341	93	2		70	292276	2001		2002	80	4391	54.7	70	0.9	-0.4	17.1	4.1		4.2	3.9	1.9	0	121250	92.4	3.4	671	40.8	16		18	0.02	0	78.7	70.5	71.4	94	93.4	96.2	10		28	1.3	1308	0	55580	1.1	0	0	0	17	0	0	0	25.9	0	671	87.1	54.2	0	80.5	45.4	76.8	12.3	6.2	0	1.3	94.2	89.3	86.7	0	3	3.3	2001	22.7				0	0	0		35.1	5.5	24.8	6.8
76	1935	35	1307	78.8	0.6		55	203979	1999	2177	1992	56	2443	33.4	86.3	1.2	0.9	5.1	4.8	10.2	10.2	7.8	1.5	10.8	71477	1.9	5.6	787	52.5	82		7.2	0.013	0	55.6	61.5	64.9	87	70.2	85.1	14	2.8	41.5	1.3	1272	0	118113	1.2	197	0	56	81	1	1	0	32.3	10.3	1137	72.1	35.8	103	81.1	46.7	61.1	27.1	6.5	0	1.7	68.5	91.5	0.5	15	263	1.5	1719	12.1				1	0	0		33.4	11.4	42.3	8.2
77	4224	30	1041	69.9	2		60	150183	2003		1996	47	2099	49.7	81.8	2	-0.9	10.7	5.9	66.5	11.4	15.6	2.4	7.1	67150	48.5	12.6	2049	26.5	30		6.3	0.014	2	50.8	54.9	73	80.4	63.7	64.5	18	8	29.2	1.4	897	0	214060	1.2	585	0	79	140	1	1	2	96.7	55.1	2060	72.4	56.2	118	58	37.8	47.5	33.4	4.5	0	10.5	68	52.6	55.5	8	61	9.9	833	20				2	2	0		26.8	11.7	23.7	22.8
78	1679	33	635	89.9	1.3		59	151890	1998	39200	1999	46	2476	33	84.1	1.5	-0.7	26	7.3	95.7	5.8	11.8	2.4	20.7	58125	31.7	9.2	837	47.9	36	17	6.2	0.021	4.1	59.5	56.1	70.8	88.6	66	70.3	7	6.8	24.2	1.3	987	11	2447428	1.2	0	0	105	58	0	0	3	29.4	0	3395	61.2	40.1	238	68.9	43.9	53.5	28.2	8.1	0	5.8	66.7	59.8	44.7	48	84	4.1	880	7.3				0	0	0.2		38	8	24.4	12.3
79	1546	25	73	97.9	9.3		23				1988	20		42.7	37.4	0		35.6	9.8	100		43.4		10.9	21013		36.4	679	52.5				0.012	6.3	38.5	49	61.5	41.7	35.1	38.9		4.3	42.2	1.2	855	0	17015	1.1	207	0	10	42	0	0	4	100	100	2975		40	1100	19.9	15.2	31.7	23.2	0.2	0	36.7	81.8	0.7	100	74		66.7	729	0				0	0	11.9			23.6	29.2	73.5
80	2050	28	690	28.1	1.7		55	110702	1965		1997	36	1569	34.9	86.2	0	-0.7	5.7	10.8		21.7	12.1	1.8	4.6	42154		8.8	1161	54.6			4.3	0.013	0	52.9	66.7	58.8	71.4	50	50		19	68.6	1.3	1240	0	20998	1.2	2190	1.49	11	38	0	1	1	48.7	0	2098		59.2	146	35.1	39.2	42.3	42.1	7.4	0	4.2	84.6	22.3	0	0	14	0	792	66.7				1	1	0		2.7	5.5	38.1	9.2
81	1128	36	193	84.1	2.4		67	145742	1995		2008	46	2009	21.5	74.3	0	0.3	19.7	6.2	94.1	5	8.6	1.1	27.5	61827		7.8	454	52		1	7.2	0.012	0	43.5	54.8	55	65.4	65.9	84.6	3	4	22.1	1.3	1097	0	12330	1.1	621	0	59	39	1	1	0	98.7	0	1330	68.4	63	89	77	51.2	59.5	26.6	6.5	0	3.5	60.6	84.6	55.7	4	1	8	986	29.9				1	1	0.2		30.5	4.2	18.6	11.6
82	1768	35	380	70.5	2.4		75	163123	2003		2004	46	2781	28.8	84.9	1.3	0.4	15.5	6	90.7	6.8	8.8	4.5	29.1	61111	40.8	7	902	36.4		2	8.5	0.02	0	63.8	61.8	70.4	92.1	70.4	74.7	6	6.5	29.1	1.5	1162	0	128652	1.2	284	0	20	56	1	2	1	100	0	1640	71	89.2	170	73	43.2	50.3	28.6	11	0	5.6	62.9	86.7	35.7	9		0	1123	0				1	0	0.1		24.8	7.7	16.5	16.2
83	1495	45	2994	38.6	0.1		71	256706	1971	9360	1974	52	2066	28.3	79.1	1.5	2.7	2.6	12.9		33	29.1	0.3	25.1	24375		25.7	293	57.6	3	270		0.019	10.2	56.1	66.2	50	70.6	51.4	56	2	10.8	65.7	1	1524	0	195359	1	0	0	3	135	0	2	3	22.9	0	2140		0	334	49.2	46.4	55.6	7.6	8.1	0	22.6	79.6	70.2	0	0	66	39.6	714	10				1	1	0			18.2	52.7	37.3
84	628	44	2502	47.1	0.1		67	130847	1966		1979	46	1944	60.9	84.4	0	2	1.2	11.5		31.1	14.2	1.1	20.9	46250		11.3	274	37.4			6.9	0.016	5.3	66.7	52.9	60	100	47.1	76.5	6	2.7	73.9	1.2	1483	0	152024	1.2	909	0.86	4	46	0	0	1	55.3	0	2229		0.6	0	72.5	39.9	75.6	14.8	3.2	0	4.3	60.5	76.6	18.2	0	111	36.2		0				0	1	0.4			7.6	69.7	8.9
85	1791	27	275	89.4	2.8		65	43687	1957		1951	54	1073	39.8	39.3	5.8	-2.4	17	25.1	100	58.8	54.1	1.1	20.2	27563	31.7	38	782	82.2	3	1	5.1	0.052	15.4	55.8	63.6	61.1	65.6	28.3	39.1	19	5.3	55.7	1.9	1061	0	43057	1.3	7584	3.86	559	151	1	2	31	100	0	7873	38	52.6	1452	87.3	36.1	1.7	93.8	0.9	0	0.9	62.9	30.3	0	288	133	22	720	0				2	3	20.5		29.9	13.1	58.7	2
86	2297	29	99	98.9	10.6		52	65374	1951		1973	31	1210	35.2	48.3	4.8	-0.9	39.4	14.2	100		40	2.5	9.3	24350		28.2	1050	46.3		21		0.018	6.4	48.3	60.9	55.6	41.8	40.7	46.2		13.1	51.3	1.2	1261	4.6	45397	1	182	0	45	78	0	0	10	100	100	2786	70.6	68.1	1263	26.5	25.5	16.4	40.9	17	0	20.8	75.6	5.7	80.1	129		41.5	694	8.1				1	1	10.4		35.7	18.8	52.8	31.2
87	1554	37	196	96.7	3.5		74	142935	1954	75865	1969	50	1266	33.9	67.6	1.9	5.3	21.4	8.9	100	22.8	38.5	0.6	18.1	38188		25.7	691	61.5			4.6	0.015	7.4	55.6	70		33.3	30.3	36.6	3	4.9	70.2	1.6	820	0	49677	1.2	822	0	69	75	0	1	3	100	61.2	2703	56.3	81.5	708	57.2	41	40	22.7	22.7	0	10.3	58	40.5	67.9	385	12	7.3	751	15.5				0	1	24.7		44.2	8.4	73.5	16.5
88	1182	37	430	87	1.1		64	68124	1964	5743	1962	43	1031	45.4	64.2	12.3	2.3	14	18.9	100	44.5	50.3	0.7	12.1	27143		38.2	481	79.8	3	19	5	0.04	18.5	62.1	62.5	68.8	53.6	32.7	50	13	8.3	54.5	1.7	1025	0	604228	1.2	667	2.6	272	166	1	3	17	100	0	6684	38.8	48.9	1438	80.1	33	5.4	82.8	8.7	0.8	0.6	62	53.8	0	103	103	35.7	623	4.6				5	4	17.3		28.3	13.5	66.8	1.9
89	1456	37	238	91.3	2.3		62	93738	1981		1987	50	1379	37.5	69.7	3.5	-0.3	15.5	14.9	98.9	21.4	20.3	1.5	1.5	61607	59.9	15.5	549	39.9		11	6.5	0.009	7.7	54	53.3	56.8	65.9	68.5	59.2	7	11.6	52.1	1.4	1107	0	2804	1.1	0	0	303	94	0	1	7	98.4	0	2679	47.9	35.9	206	76.1	43.8	36.6	42.2	3.8	0	11.1	57.7	73.7	41.5	46	8	14.5	1111	33.8				1	1	2		32.2	5.5	53.6	19.4
90	1776	33	250	96.5	3.3		72	116746	1958		1976	52	1362	28.9	70.5	4.2	2.1	20.4	19.8	100	28.8	29.5	0.9	9.8	30952		20.3	826	68.8			5.8	0.016	13.9	60	57.5	30.8	50	64.4	56.3	2	3.9	62.3	1.9	1021	0	85471	1.2	1117	1.78	105	136	2	1	4	100	0	5011	43.7	33.7	1070	46.7	39.3	36.8	29.2	5.7	0.6	25.7	48.1	29.5	67.6	311	7	37.3	731	2.2				4	3	0.5		41.7	12	65.3	38.6
91	2250	30	283	95.3	3		65	96291	1981		2001	52	1502	48.4	80.4	0.7	-0.3	16.3	12.1	67	23.9	22.7	2.3	4.6	45045		17.9	840	50.9		4	7.2	0.007	4.6	55.4	59.4	58.3	88.5	64.4	51	3	6.9	56.7	1.3	1038	14.8	1434	1.1	2387	0	254	152	0	3	2	98.5	0	2222	57.3	19.8	356	66.5	45.2	45.2	33.8	1.2	0	14.1	64.9	68.5	0	0	2	14.9	785	5.1				4	4	1.3		32.7	8.7	55.6	24.5
92	1495	31	270	75.9	3.9		48	191616	1980		2001	33	2795	17	73.2	4.6	-1.1	30.7	4.3	100		5.9	0.6	4.6	60500	100	4.9	909	43.3			3.8	0.035	0	33.3	69.2	71.4	90	52.9	47.1			17.5	1.3	809	0	1212183	1.3	6667	3.6	4	26	0	0	1	2.5	0	4214		54.9	334	43.9	35.2	48.4	41.1	5.8	0	2.2	58	26.6	97.5	93		7.6	902	0				1	1	0			18.9	1.5	6.7
93	1236	28	591	66.2	1.1		53	187500	1938	583969	1990	7	826	15	78.7	6.3		21.2	14	100		24.4		0	40957	99.4	18	624	52.4		12		0.044	11.4	53.6	59	61.5	66.7	66	58.1		13.9	42.2	1.2	845	35.2	2491023	1.2	448	1.15	0	29	0	0	3	100	99.4	4045		20.3	405	43.6	23.8	23	52.4	6.4	0	14.6	50.2	0.2	99.4	100		21.9	826	0				1	1	0			10.6	28.3	21.1
94	1035	45	657	79.5	0.6		62	77941	1973	59001	1989	52	1132	34.9	73.3	2	1.2	19.7	18.9	100	27.9	35.8	0.6	27.3	29375		27.7	379	77.2		1	7.3	0.069	12.1	44.4	63.9	27.8	46.4	51.4	68.3	4	9.3	36.6	1.4	894	0	1556300	1.2	282	1.03	292	106	0	3	4	100	18.5	8213	46.2	21	676	96.4	41.8	9.4	76.2	1.4	0	9.7	66.5	67.3	15.8	74	3	0	974	0				0	0	3.2		40.5	6.9	37.6	18.2
95	1597	37	444	96.6	1.5		67	152964	1996		2001	53	1736	18.2	89.2	0	1.4	30.2	6.4	100	9.6	10.6	0.9	15	65125	61.5	10.3	672	45.3			6.8	0.022	7.3	61.5	58.5	76.2	78.8	65.5	66.7	3	6.4	25.6	1.3	1026	0	1989525	1.2	0	1.05	62	75	0	0	0	1.3	0	3444	71.3	48.5	0	65.8	33.6	44.6	31.4	13.3	0	7.1	52.9	48.1	63.4	25	1	2.2	870	5.9				1	1	0.1		34.6	4.5	29	17.6
96	3232	30	729	67.7	2		63	129437	1994	267932	2003	49	1589	17.8	84.8	1.4	0.1	20.3	8.5	96.3	10.2	13.8	2	15.6	52500		11.7	1180	51.4	5	11	6.5	0.024	2.8	69.4	56.7	53.9	68	64.5	60.4	18	8.7	37.5	1.4	988	3.9	791981	1.2	994	0	216	125	0	1	6	100	36	6621	45	37.5	248	58.5	36.3	38.6	42	6.5	0	9.4	56.5	55.5	31.9	162	7	10.4	940	14.1				5	4	0.3		26.2	7	27.6	20.7
97	3551	34	547	95	2.8		62	149824	1992		1979	51	1883	29.5	80.7	2.1	1.4	15.3	6.9	67.7	8.3	11.1	1.2	4.9	55598	10.8	8.3	1550	37.8		22	6.8	0.011	2	65.3	45.5	68.8	83.1	67.8	73.5	20	6.3	26.4	1.3	998	0	25446	1.1	132	0	291	129	2	3	2	62.3	0	929	68.2	42.3	84	70.2	44.7	61.7	23.9	3.7	0	7	62.2	67.1	4.3	31	3	9.1	713	21				0	0	0.1		41.3	6.1	26.3	16.6
98	2394	30	1615	69.8	0.6		56	137927	1999	1200	1967	46	2080	51.4	72.5	1.5	-1.1	4.1	10.3	1.7	13.7	19	4.6	3.2	49389	1	14.2	916	48.6	14	2	5.5	0.013	2.5	50	56.5	63.3	74.1	63.3	65.1	3	8.5	62.3	1.1	1107	0	31681	1.1	111	0	100	124	0	1	1	86.6	0.9	1170	48	54.3	42	66.6	43.3	32	51.3	2.2	0	9.4	78.1	86	0	0	83	13	1476	7.6				0	0	0.8		25.1	7.5	55.4	20.6
99	1468	44	397	96.8	1.6		68	154158	1972		1954	58	1896	34.5	87.7	8.5	0.9	18.6	7.8	94.6	13.4	15.4	0.9	13.4	59615		11.1	644	45.3			6.3	0.04	0	76.9	67.7	55.6	87.5	80	92.3	11	8.6	58.7	1.5	1020	0	1200	1.2	4571	0	128	88	1	3	3	100	0	1703	55.7	31.1	204	87.8	46.4	68.9	20.4	4.1	0	3	61.9	87.7	0	65	9	3.9	1426	29.2				1	1	0.5		35.4	7.3	68.1	9.1
100	1813	36	725	96.9	1		61	75875	1977	37746	1987	65	1444	41.6	77.3	5.7	-1.4	20.6	17.5	100	22.9	33.9	1.4	5.6	37071	35.2	25.1	701	56.8			5.5	0.03	14.3	43.8	67.2	51.4	40.8	44.4	49.2	8	7	48.2	1.3	1046	0	1283975	1.1	2191	0	251	153	0	2	4	99.9	42.2	6509	42	47.5	607	73.5	47.5	9.5	76.7	2.2	0.2	7.7	55.1	57.5	25	246	4	26.1	722	0				2	3	17.3		32.1	7.3	65.8	12.7
