id	p1	median_age	area	developed_land	residential_density	land_use_proximity	age_death	singlefamily_property_value	year_built	commercial_permits	commercial_year_built	gas_consumption	heated_sqft	commute_time	drive_alone	dropout_rate	change_residential_property_value	impervious_surface	unexcused_absences	transit_proximity	rental_units	foodstamps	foreclosures	employed_6_months	median_household_income	grocery_stores	medicaid	housing_units	part_time	new_building_permits	structures_in_floodplain	water_consumption	fire_calls	births_to_adolescents	growth_3_5	growth_6_8	growth_9_12	proficient_9_12	proficient_6_8	proficient_3_5	residential_reno_permits	north_carolina_health_choice	tree_canopy	bicycle_friendly	energy_consumption	adopt_a_stream	commercial_building_sqft	street_connectivity	juvenile_incidents	streets_adopted	nuisance_violations	animal_control	residents_on_committees	neighborhood_organizations	code_violations	near_public_outdoor_recreation	near_medicaid_or_free_clinic	property_crime	residential_recycling	sidewalks	violent_crime	registered_voters	voter_participation	white	black	asian	group_population	other_population	neighborhood_schools	owner_occupied	near_drugstore	public_transit	residential_vacant	no_highschool_diploma	rent	private_schools	grants	commercial_code_violations	commercial_property_value_change	preschool_programs	school_aged_programs	subsidized_housing	zoning_violations	waste_generation	residential_vacant_rate	residential_tree_canopy	hispanic
12	2496	29	165	98.7	7.9		49	31429		3674	1983	20		40.3	67.9	4.7	-5.4	34	18.9	100		35.5	4.2	14.8	28080		24.7	1257	55.8		7		0.02	7.2	61.5	61.5	37.5	51.1	38.3	58.4		7.7	29.4	1.4	914	2.3	126534	1.1	516	1.5	24	107	1	0	2	100	93	4688		33.2	841	45.3	28.5	27.5	48.7	5.7	0	13.2	68.3	15.4	0	167		16.3	748	0				1	1	4.1			15.2	32.5	29.9
13	3348	31	457	98.2	4		68	160875	1957		1977	49	1279	29.7	71.5	6.4	4.7	34.1	13.3	100	22.1	16.5	0.3	5.6	44313		13.1	1812	42.7	78		5.2	0.018	1.6	66.7	55.6	52.2	61.1	55.9	44.9	15	7.4	38.3	1.6	797	0	1388754	1.2	181	3.19	358	155	1	1	8	68.7	0	3674	61.3	41.8	508	49.6	32.9	57.4	22.3	2.4	0.2	14.5	68.8	27.7	22.9	62	14	17.7	684	7.9				1	3	0.1		41.4	5.5	54.8	26.6
14	3669	28	436	92.9	3.7		64	142289	1997	10992	1996	60	1875	31.7	85.8	1.8	-1	21.1	10.1	74.3	13.5	11	1.5	4.4	60424	60.1	8.9	1613	45.9		10	5.9	0.011	3.9	53.1	67.3	59.7	72.6	61.1	57.3	3	4.5	44.1	1.4	1041	0	89481	1.1	213	1.28	65	95	2	4	2	73.1	47.5	1799	57.5	46.6	164	61.6	40.6	31.3	45.4	16.5	0	2.9	79	41.1	62.7	114	10	4.6	998	8.2				2	2	0.6		30.6	4.4	45.2	8.1
15	2010	40	693	95.8	1.2		75	253312	1974		1989	59	2324	25	84.6	1.7	3	13.7	6.5		10.2	4.7	0.4	14.6	83470		4.7	825	44.3	1	22	7.5	0.012	1.7	75	58.8	46.7	84.2	79.4	79.3	23	2.7	70.5	1.6	1420	19.5	31388	1.2	190	0.08	58	102	2	3	1	60.8	0	498	71.8	16.2	0	94.2	56.6	82.2	8.9	4.2	0	2.5	47.8	91.2	0	0	59	1.6		33.1				2	0	0.1		49.6	5.3	70.1	5.1
16	4587	38	727	97.6	2.9		69	103307	1971		1979	57	1499	28.8	79.3	6.2	1.1	22.8	11	98.5	21.8	25.6	1.2	14.1	37019	1	19.4	2119	45.4		22	5.9	0.017	5.2	59.8	68.3	59.7	71.8	62	56.1	24	8.8	53.9	1.4	932	27.2	490156	1.2	1176	2.13	525	337	0	3	11	74.5	65.5	3815	53.2	37.7	371	63.2	41.8	36.5	45.5	3.1	0	10.7	64.7	50.9	60.8	106	11	18.1	865	12.2				5	4	11.4		32.8	9.8	58.9	17.6
17	3047	40	455	98	2.8		66	94158	1971		1981	58	1604	44.4	74.1	2.2	-0.9	20.1	14.6	100	21.4	32.3	1.8	15.2	42554		26	1256	48		10	6.6	0.013	10.9	51.7	59.6	47.7	64.8	45.6	52.1	4	8	47.7	1.4	1261	0	219198	1.2	914	3.93	560	237	0	3	16	92.9	30.5	2790	50.1	29.6	427	80.9	47.5	10.8	74.3	3.4	0.5	7.8	67.2	52.6	32.5	267	12	9.1	637	1.1				8	8	2.4		37.6	10.4	55.7	13.5
18	2968	31	617	89.7	2.6		76	567314	1970	14662	1986	77	2895	10.9	89.8	0	4.5	22	7.1	100	12.1	5.5	1.2	4	75698	0.5	4.2	1598	43.4	3	26	9.7	0.036	3.1	80	64	37.5	75	83	92.7	25		64.9	1.5	1164	35.9	403490	1.2	594	3.96	46	105	6	3	4	92.8	80.6	2325	67.6	42.3	67	76.7	48.2	84.7	10.2	2.2	0	0.8	81.9	43.8	82	265	57	6.4	953	32.9				0	0	0		46.7	14.7	69.9	2.6
19	3480	47	843	96.7	2.1		78	221995	1973	3422	1967	54	2282	23.7	84.3	0	3.1	19.5	4.5	97.7	7.9	3.2	0.7	9.6	72240	29.1	3.1	1755	43.4		58	7.5	0.016	1.1	56.5	76.3	68	84.2	84.8	84.1	37	2.5	50.3	1.6	1127	0.5	29460	1.2	702	1.18	55	133	1	6	2	95.2	0	1264	74.2	29	57	91.3	54.2	90.6	4.1	2	0	1.3	67.8	86.3	35.7	18	33	2.3	923	32				2	2	0		45.4	5.7	56.3	3.9
20	2975	40	401	95.2	3.6		75	190167	1996		2006	46	1936	51.4	87.1	0	1.8	22.1	2.1	28.9	8.7	3.6	0.5	5.9	74210	74.1	3.6	1453	42.2		23	6.5	0.007	1.2	51.1	75	78.1	95.6	86.7	89.5	13	2.7	34.7	1.4	887	0	47037	1.1	0	0	51	57	0	2	0	99.8	22.1	1042	68.4	53.2	0	80.7	48.2	82.3	6.1	6.7	0	2.1	93.3	71.1	74.5	0		1	1373	6.1				1	1	0		43.6	5.1	32.4	8.6
21	2622	31	912	89.9	1.3		51	107275	1972	17908	1965	45	1356	29.1	71.7	2.2	2.9	27.4	12.6	100	32.5	37.1	2.1	4.6	24583	41.3	27	1168	63.1	2	44	4.5	0.034	1.9	56.5	69.7	68	67.4	45.9	50.9	5	7.8	32.5	1.3	949	10.1	2963858	1.2	573	1.11	349	175	1	2	9	99.9	25.4	8047	44.5	46.5	953	39.1	31.4	19.2	55	2.8	5.9	19.6	59.5	16.7	41	1070	75	31.7	645	0				1	2	6		33.1	10.5	46.1	29.1
