id,y_2013
2,1258
3,4145
4,415
5,230
6,721
7,392
8,762
9,292
10,1610
11,1280
12,1355
13,1653
14,1581
15,835
16,2101
17,1154
18,1544
19,1780
20,1427
21,1150
22,362
23,533
24,463
25,1100
26,211
27,956
28,528
29,563
30,475
31,674
32,231
33,557
34,691
35,784
36,1019
37,693
38,822
39,901
40,1109
41,785
42,1317
43,628
44,431
45,1000
46,932
47,623
48,895
49,888
50,966
51,917
52,833
53,1062
54,545
55,797
56,354
57,543
58,464
59,1074
60,1176
61,447
62,
64,1814
65,1180
66,1279
67,345
68,1302
69,776
70,568
71,1442
72,566
73,1133
74,729
75,681
76,847
77,2123
78,853
79,888
80,1106
81,443
82,675
83,560
84,242
85,678
86,860
87,477
88,427
89,566
90,676
91,827
92,967
93,623
94,406
95,665
96,1582
97,1529
98,888
99,653
100,722
101,840
102,529
103,442
105,420
106,675
107,1047
108,454
109,690
110,903
111,998
112,497
113,1336
114,290
115,1018
116,800
117,1386
118,413
119,456
120,569
121,792
122,
123,1075
124,827
125,1098
126,123
127,968
128,815
129,873
130,728
131,701
132,275
133,637
134,447
135,535
136,738
137,638
138,231
139,527
140,979
141,309
142,1286
143,609
144,1058
145,742
146,625
147,1043
148,932
149,373
150,682
151,1041
152,279
153,1228
154,1158
155,952
156,1103
157,429
158,1236
159,321
160,1093
161,1132
162,679
163,526
164,1755
165,888
166,515
167,354
168,606
169,768
170,653
171,400
172,1040
173,321
174,591
175,669
176,1200
177,700
178,949
179,652
180,437
181,1212
182,257
183,369
184,676
185,1189
186,796
187,441
188,764
189,382
190,358
191,955
192,1044
193,588
194,1006
195,999
196,741
197,971
198,387
199,1111
200,202
201,1116
202,804
203,635
204,610
205,299
206,564
207,956
208,686
209,1002
210,1137
211,841
212,403
213,503
215,322
216,373
217,484
218,1255
219,772
220,646
221,695
222,676
223,672
224,1058
225,264
226,599
227,794
228,72
229,914
230,928
231,720
232,247
233,1130
234,1321
235,913
236,432
237,939
238,800
240,875
241,749
242,479
243,37
244,683
245,487
246,1301
247,428
248,794
249,522
250,642
251,600
252,326
253,906
254,354
255,1220
256,999
257,1309
258,966
259,923
260,1202
261,853
262,1213
263,944
264,916
265,534
266,1032
267,1504
268,664
269,1205
270,628
271,414
272,783
273,626
274,530
275,900
276,657
277,514
278,878
279,857
280,554
281,442
282,520
283,1036
284,286
285,
286,332
287,1402
288,968
289,1242
290,221
291,763
292,279
293,304
294,395
295,543
296,438
297,153
298,796
299,1267
300,336
301,714
302,1210
303,904
304,120
305,403
306,253
307,1108
308,428
309,588
310,800
311,566
312,476
313,579
314,918
315,379
316,1407
317,291
318,669
319,1084
320,536
321,420
322,380
323,888
324,570
325,1069
326,374
327,658
328,384
329,740
330,680
331,694
332,605
333,986
334,388
335,987
336,1722
337,705
338,989
339,882
340,3756
341,1492
342,360
343,871
344,607
345,367
346,983
347,263
348,1254
349,780
350,740
351,390
352,1138
353,962
354,995
355,1060
356,1854
357,1062
358,1433
359,812
360,1347
361,394
362,1259
363,960
364,996
365,584
366,396
367,2472
368,1161
369,396
370,1020
371,2402
372,4144
373,1117
374,936
375,871
376,1355
377,1966
378,2041
379,1310
380,1787
381,1532
382,742
383,1563
384,1448
385,1835
386,621
387,1021
388,728
389,3264
390,775
391,964
392,3806
393,3082
394,1252
395,
396,
397,
398,
399,
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,
411,
412,
413,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
428,
430,
431,
432,
433,
434,
435,
436,
437,
438,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
462,
463,
464,
465,
466,
467,
468,
469,
470,
471,
472,
473,
474,
475,
