id,y_2012
2,9
3,4
4,26
5,25
6,12
7,15
8,13
9,17
10,7
11,11
12,11
13,9
14,24
15,12
16,6
17,10
18,9
19,8
20,7
21,11
22,23
23,33
24,5
25,8
26,12
27,3
28,16
29,9
30,21
31,8
32,23
33,69
34,13
35,13
36,10
37,12
38,12
39,5
40,12
41,5
42,7
43,16
44,48
45,10
46,16
47,4
48,11
49,14
50,12
51,8
52,13
53,11
54,4
55,8
56,6
57,11
58,11
59,5
60,3
61,29
62,147
64,8
65,25
66,36
67,88
68,36
69,15
70,18
71,9
72,17
73,12
74,17
75,37
76,34
77,12
78,10
79,9
80,11
81,3
82,16
83,10
84,48
85,17
86,22
87,26
88,14
89,15
90,14
91,15
92,5
93,18
94,5
95,16
96,13
97,11
98,12
99,12
100,11
101,12
102,37
103,13
105,17
106,9
107,11
108,38
109,10
110,16
111,44
112,12
113,10
114,16
115,12
116,11
117,16
118,13
119,3
120,11
121,9
122,
123,10
124,8
125,23
126,56
127,8
128,12
129,12
130,18
131,13
132,28
133,11
134,14
135,17
136,12
137,43
138,8
139,9
140,12
141,39
142,14
143,15
144,8
145,9
146,4
147,8
148,8
149,6
150,13
151,11
152,50
153,13
154,24
155,17
156,8
157,27
158,9
159,13
160,9
161,11
162,8
163,33
164,6
165,1
166,16
167,57
168,3
169,35
170,13
171,9
172,12
173,7
174,28
175,11
176,10
177,11
178,13
179,11
180,8
181,8
182,39
183,13
184,11
185,25
186,14
187,66
188,36
189,13
190,48
191,10
192,10
193,35
194,12
195,14
196,17
197,13
198,13
199,24
200,54
201,11
202,10
203,9
204,7
205,9
206,15
207,50
208,13
209,15
210,5
211,15
212,6
213,11
215,11
216,52
217,13
218,10
219,15
220,10
221,12
222,11
223,13
224,13
225,7
226,49
227,16
228,70
229,34
230,2
231,2
232,7
233,14
234,8
235,10
236,9
237,7
238,13
240,11
241,10
242,9
243,116
244,19
245,5
246,4
247,16
248,13
249,19
250,18
251,16
252,13
253,17
254,19
255,10
256,8
257,18
258,3
259,15
260,10
261,8
262,10
263,11
264,14
265,19
266,15
267,13
268,14
269,16
270,15
271,15
272,19
273,12
274,34
275,36
276,11
277,12
278,7
279,15
280,14
281,54
282,51
283,9
284,38
285,
286,20
287,12
288,8
289,17
290,18
291,9
292,15
293,13
294,24
295,15
296,14
297,52
298,25
299,6
300,16
301,15
302,4
303,11
304,23
305,26
306,12
307,7
308,13
309,11
310,2
311,8
312,15
313,7
314,12
315,21
316,7
317,14
318,16
319,13
320,15
321,9
322,30
323,12
324,19
325,8
326,16
327,9
328,17
329,11
330,18
331,24
332,19
333,9
334,71
335,13
336,12
337,32
338,8
339,12
340,5
341,7
342,13
343,12
344,8
345,20
346,13
347,3
348,10
349,14
350,12
351,7
352,11
353,10
354,13
355,7
356,9
357,7
358,8
359,10
360,25
361,9
362,6
363,8
364,4
365,16
366,15
367,14
368,9
369,11
370,6
371,4
372,6
373,8
374,9
375,10
376,8
377,22
378,7
379,7
380,7
381,6
382,11
383,8
384,9
385,9
386,13
387,11
388,31
389,6
390,11
391,8
392,5
393,6
394,11
395,8
396,11
397,15
398,17
399,17
400,9
401,8
402,12
403,3
404,12
405,10
406,27
407,9
408,9
409,9
410,11
411,11
412,14
413,4
416,35
417,20
418,5
419,10
420,13
421,8
422,12
423,5
424,7
425,13
426,10
428,15
430,11
431,8
432,15
433,17
434,10
435,19
436,14
437,11
438,11
442,10
443,15
444,5
445,11
446,17
447,12
448,12
449,10
450,3
451,10
452,13
453,4
454,12
455,4
456,28
457,13
458,17
459,12
460,11
462,4
463,13
464,9
465,33
466,12
467,15
468,110
469,10
470,7
471,15
472,11
473,17
474,14
475,13
