parid,class,saledate,price,saleval
10276579,R,1/25/2013,105000,Foreclosure Proceedings
10276602,R,7/10/2012,38400,Foreclosure Proceedings
10276609,R,11/6/2012,65000,Foreclosure Proceedings
10276632,R,7/12/2013,61000,Foreclosure Proceedings
10276643,R,6/7/2012,60001,Foreclosure Proceedings
10276650,R,7/8/2011,86000,Foreclosure Proceedings
10276663,R,3/21/2012,70001,Foreclosure Proceedings
10278700,R,4/2/2014,48000,Foreclosure Proceedings
10278767,R,6/13/2013,110000,Foreclosure Proceedings
10278769,R,8/11/2011,103000,Foreclosure Proceedings
10329050,R,7/16/2012,275000,Foreclosure Proceedings
10335855,R,8/21/2012,18500,Foreclosure Proceedings
10366600,R,2/23/2012,21000,Foreclosure Proceedings
10424800,R,1/31/2011,55000,Foreclosure Proceedings
10428500,R,7/23/2013,51101,Foreclosure Proceedings
10429000,R,8/14/2013,77500,Foreclosure Proceedings
10433800,R,3/10/2011,25000,Foreclosure Proceedings
10441225,R,10/27/2011,95000,Foreclosure Proceedings
10444000,R,1/7/2011,22000,Foreclosure Proceedings
10445500,R,8/8/2012,51500,Foreclosure Proceedings
10467200,R,6/15/2011,344400,Foreclosure Proceedings
10468150,R,8/5/2013,68000,Foreclosure Proceedings
10474700,R,3/19/2014,78000,Foreclosure Proceedings
10478637,R,4/20/2011,83300,Foreclosure Proceedings
10478653,R,4/24/2012,76000,Foreclosure Proceedings
10481901,R,1/16/2014,130000,Foreclosure Proceedings
10482830,R,9/21/2012,56100,Foreclosure Proceedings
10488050,R,7/16/2012,72500,Foreclosure Proceedings
10495101,R,7/24/2012,26501,Foreclosure Proceedings
10502006,M,2/20/2014,65000,Foreclosure Proceedings
10505000,R,1/11/2013,96200,Foreclosure Proceedings
10514450,R,12/12/2013,60000,Foreclosure Proceedings
10527900,R,3/24/2011,15000,Foreclosure Proceedings
10544600,R,8/13/2013,38000,Foreclosure Proceedings
10570100,R,4/18/2013,54500,Foreclosure Proceedings
10574051,R,3/17/2014,48369,Foreclosure Proceedings
10579950,R,3/4/2011,55500,Foreclosure Proceedings
10581700,R,4/25/2014,4250,Foreclosure Proceedings
10586400,R,3/18/2011,26000,Foreclosure Proceedings
10602799,R,3/9/2011,70100,Foreclosure Proceedings
10615850,R,12/14/2012,44050,Foreclosure Proceedings
10638875,R,7/8/2013,60000,Foreclosure Proceedings
10653850,R,2/18/2011,51500,Foreclosure Proceedings
10720500,R,2/28/2013,28000,Foreclosure Proceedings
10723250,R,8/17/2012,68400,Foreclosure Proceedings
10725000,R,5/9/2013,12000,Foreclosure Proceedings
10735270,R,3/14/2014,89900,Foreclosure Proceedings
10740700,C,5/31/2011,800000,Foreclosure Proceedings
10741900,R,12/20/2011,69901,Foreclosure Proceedings
10752500,R,6/12/2013,23500,Foreclosure Proceedings
10756125,M,10/15/2013,92289,Foreclosure Proceedings
10760000,R,5/31/2011,52500,Foreclosure Proceedings
10766200,R,4/25/2013,70000,Foreclosure Proceedings
10767900,R,9/21/2012,84000,Foreclosure Proceedings
10777700,R,6/14/2012,45100,Foreclosure Proceedings
10805355,R,2/7/2011,0,Foreclosure Proceedings
10832500,R,3/18/2011,41000,Foreclosure Proceedings
10839414,R,10/14/2013,54450,Foreclosure Proceedings
10839466,R,1/3/2012,45922,Foreclosure Proceedings
10851900,M,7/27/2011,649900,Foreclosure Proceedings
10857500,R,6/30/2011,43500,Foreclosure Proceedings
10862700,R,7/31/2013,118000,Foreclosure Proceedings
10867550,R,6/26/2013,250000,Foreclosure Proceedings
10870200,R,10/4/2013,51500,Foreclosure Proceedings
10894200,R,12/18/2013,41505,Foreclosure Proceedings
10920200,R,6/17/2013,36500,Foreclosure Proceedings
10920800,R,4/30/2013,70000,Foreclosure Proceedings
10927000,R,3/9/2011,17000,Foreclosure Proceedings
10967396,R,2/25/2013,57101,Foreclosure Proceedings
10967409,R,1/24/2011,55500,Foreclosure Proceedings
10967413,R,5/31/2013,53000,Foreclosure Proceedings
10976240,R,9/16/2011,52000,Foreclosure Proceedings
11007300,R,12/23/2013,58600,Foreclosure Proceedings
11007400,R,10/19/2012,10000,Foreclosure Proceedings
11014425,R,8/28/2012,31500,Foreclosure Proceedings
11018950,R,10/9/2013,29000,Foreclosure Proceedings
11024250,R,12/20/2013,13400,Foreclosure Proceedings
11035300,R,11/7/2012,53000,Foreclosure Proceedings
11036000,R,3/27/2012,5500,Foreclosure Proceedings
11053400,R,4/4/2013,35557,Foreclosure Proceedings
11061500,R,10/14/2011,114199,Foreclosure Proceedings
11071339,R,6/12/2014,0,Foreclosure Proceedings
11079000,R,12/12/2012,45251,Foreclosure Proceedings
11087800,R,3/27/2013,20900,Foreclosure Proceedings
11102050,R,11/26/2012,36551,Foreclosure Proceedings
11112100,R,8/31/2011,14150,Foreclosure Proceedings
11165100,R,10/30/2013,68000,Foreclosure Proceedings
11171650,R,11/3/2011,41000,Foreclosure Proceedings
11172575,R,3/21/2011,42000,Foreclosure Proceedings
11173450,R,9/12/2013,83000,Foreclosure Proceedings
11184300,R,1/28/2011,240000,Foreclosure Proceedings
11241100,R,12/19/2013,45000,Foreclosure Proceedings
11249200,R,3/29/2012,48100,Foreclosure Proceedings
11287650,R,1/14/2013,34299,Foreclosure Proceedings
11295600,R,4/25/2014,31932,Foreclosure Proceedings
11297275,R,1/10/2014,75400,Foreclosure Proceedings
11302801,R,10/1/2013,59900,Foreclosure Proceedings
11302845,R,3/11/2013,70005,Foreclosure Proceedings
11317050,R,8/1/2013,68087,Foreclosure Proceedings
11343850,R,5/30/2014,56067,Foreclosure Proceedings
11345750,R,7/27/2011,54500,Foreclosure Proceedings
11357800,R,4/12/2013,39900,Foreclosure Proceedings
11358700,R,2/14/2011,46000,Foreclosure Proceedings
11363500,R,7/3/2013,43600,Foreclosure Proceedings
11364400,R,7/31/2012,14000,Foreclosure Proceedings
11385622,R,6/27/2013,42250,Foreclosure Proceedings
11385630,R,4/12/2013,37500,Foreclosure Proceedings
11385630,R,4/12/2013,37500,Foreclosure Proceedings
11385631,R,9/21/2012,52500,Foreclosure Proceedings
11385636,R,12/18/2013,36508,Foreclosure Proceedings
11389500,R,2/19/2013,65000,Foreclosure Proceedings
11393500,R,7/23/2013,245000,Foreclosure Proceedings
11401500,R,7/29/2013,52500,Foreclosure Proceedings
11402650,R,8/5/2013,20000,Foreclosure Proceedings
11408750,R,11/21/2012,60000,Foreclosure Proceedings
11410950,R,4/1/2011,21000,Foreclosure Proceedings
11414600,R,11/8/2013,29900,Foreclosure Proceedings
11422700,R,4/17/2013,35000,Foreclosure Proceedings
11428700,R,6/4/2013,45000,Foreclosure Proceedings
11438100,R,2/1/2012,43000,Foreclosure Proceedings
11444800,R,4/30/2012,38000,Foreclosure Proceedings
11460500,R,10/31/2012,22000,Foreclosure Proceedings
11469300,R,10/29/2013,47000,Foreclosure Proceedings
11513700,R,12/18/2013,49100,Foreclosure Proceedings
11529950,R,1/31/2014,82000,Foreclosure Proceedings
11546950,R,7/5/2012,35100,Foreclosure Proceedings
11560300,R,1/15/2013,0,Foreclosure Proceedings
11571000,R,4/27/2011,44000,Foreclosure Proceedings
11571200,R,1/3/2011,89254,Foreclosure Proceedings
11580700,R,2/13/2012,56500,Foreclosure Proceedings
11593000,R,8/31/2011,61000,Foreclosure Proceedings
11609700,R,2/20/2013,8900,Foreclosure Proceedings
11613200,R,6/10/2013,71000,Foreclosure Proceedings
11630425,R,10/9/2013,45500,Foreclosure Proceedings
11630500,R,7/13/2011,31500,Foreclosure Proceedings
11641450,R,10/29/2013,76500,Foreclosure Proceedings
11648900,R,1/30/2013,100000,Foreclosure Proceedings
11655100,R,8/6/2013,300000,Foreclosure Proceedings
11666650,R,1/9/2013,49100,Foreclosure Proceedings
11668850,R,1/15/2013,66900,Foreclosure Proceedings
11686300,R,6/22/2012,34004,Foreclosure Proceedings
11694500,R,11/7/2012,100000,Foreclosure Proceedings
11747900,R,12/12/2011,42000,Foreclosure Proceedings
11761500,R,7/22/2011,62000,Foreclosure Proceedings
11776350,R,11/7/2011,48199,Foreclosure Proceedings
11779900,R,5/13/2013,18000,Foreclosure Proceedings
11808800,R,1/16/2014,130000,Foreclosure Proceedings
11810200,R,4/3/2013,46596,Foreclosure Proceedings
11816950,R,4/11/2011,195100,Foreclosure Proceedings
11858182,R,6/19/2012,157000,Foreclosure Proceedings
11860000,R,6/12/2013,25550,Foreclosure Proceedings
11862500,R,10/24/2013,27100,Foreclosure Proceedings
11867700,R,4/15/2011,65000,Foreclosure Proceedings
11869500,R,3/21/2014,125000,Foreclosure Proceedings
11872800,R,6/9/2014,71000,Foreclosure Proceedings
11883000,R,8/9/2013,62539,Foreclosure Proceedings
11887799,R,2/28/2013,125000,Foreclosure Proceedings
11887826,R,1/17/2012,67699,Foreclosure Proceedings
11887859,R,9/13/2012,124900,Foreclosure Proceedings
11887894,R,6/5/2013,132500,Foreclosure Proceedings
11906500,R,8/30/2012,38000,Foreclosure Proceedings
11906900,R,5/7/2012,86552,Foreclosure Proceedings
11915950,R,4/18/2013,50000,Foreclosure Proceedings
11939700,R,3/9/2011,44640,Foreclosure Proceedings
11951600,M,10/4/2013,63000,Foreclosure Proceedings
11959300,R,12/19/2013,53000,Foreclosure Proceedings
11991600,C,6/10/2014,1575000,Foreclosure Proceedings
12007075,R,8/21/2012,66000,Foreclosure Proceedings
12039900,R,5/18/2012,119000,Foreclosure Proceedings
12047200,R,1/9/2014,84500,Foreclosure Proceedings
12060200,R,2/27/2014,10000,Foreclosure Proceedings
12138600,R,8/5/2011,75000,Foreclosure Proceedings
12139075,R,11/1/2013,90000,Foreclosure Proceedings
12140300,R,11/8/2013,86000,Foreclosure Proceedings
12156500,R,8/29/2012,60000,Foreclosure Proceedings
12156588,R,10/31/2013,115501,Foreclosure Proceedings
12175200,R,2/20/2013,84000,Foreclosure Proceedings
12180900,R,12/13/2012,40000,Foreclosure Proceedings
